Year,Mo,Dy,Tsunami Event Validity,Tsunami Cause Code,Earthquake Magnitude,Country,Area,Region,Location Name,Latitude,Longitude,Maximum Water Height (m),Number of Runups,Tsunami Magnitude (Iida),Deaths,Death Description,Damage ($Mil),Damage Description,Houses Destroyed Description
1816.0,11.0,14.0,3.0,1.0,7.2,MEXICO,,88.0,CENTRAL MEXICO,,,25.0,1.0,0.6,,,,1.0,
1817.0,8.0,23.0,3.0,1.0,6.8,GREECE,,50.0,CORINTHOS-PATRAS GULF,38.3,22.1,5.0,2.0,0.6,,,,,
1818.0,2.0,20.0,4.0,1.0,6.0,ITALY,,50.0,EASTERN SICILY,37.6,15.133,0.92,1.0,0.6,,,,,
1818.0,3.0,18.0,3.0,3.0,7.0,INDONESIA,,60.0,"BENGKULU, SUMATRA",-4.0,101.5,0.92,1.0,0.6,,,,1.0,
1818.0,5.0,31.0,3.0,1.0,8.2,MEXICO,,88.0,CENTRAL MEXICO,19.1,-103.94,13.9,2.0,0.6,,,,,
1819.0,4.0,12.0,4.0,1.0,8.5,CHILE,,89.0,NORTHERN CHILE,-27.0,-71.5,4.0,9.0,2.0,,,,2.0,2.0
1819.0,6.0,16.0,3.0,1.0,7.7,INDIA,,60.0,KUTCH,23.0,71.0,0.92,1.0,0.6,,,,2.0,2.0
1819.0,8.0,31.0,3.0,1.0,5.8,NORWAY,,73.0,NORWAY:  RANA REGION: LUROY,66.416,12.85,0.92,1.0,0.6,,,,,
1820.0,5.0,4.0,4.0,1.0,7.6,MEXICO,,88.0,S. MEXICO,17.2,-99.6,4.0,1.0,1.0,,,,,
1820.0,12.0,29.0,4.0,1.0,7.5,INDONESIA,,60.0,FLORES SEA,-7.0,119.0,25.0,7.0,4.0,500.0,3.0,,2.0,3.0
1820.0,1.0,1.0,3.0,8.0,7.2,USA,WA,88.0,"CAMANO ISLAND, WA",48.06,-122.36,0.92,2.0,0.6,,2.0,,,1.0
1822.0,5.0,7.0,3.0,1.0,7.6,COSTA RICA,,74.0,MATINA,9.5,-83.0,0.92,3.0,0.6,,,,,
1822.0,11.0,20.0,4.0,1.0,8.5,CHILE,,89.0,CENTRAL CHILE,-33.0,-72.0,3.6,6.0,1.8,,,,,
1823.0,11.0,30.0,4.0,1.0,7.2,MARTINIQUE (FRENCH TERRITORY),,74.0,SAINT PIERRE,14.4,-61.0,0.92,1.0,0.6,,,,1.0,
1826.0,1.0,1.0,3.0,1.0,7.2,JAPAN,,85.0,CHICHI JIMA,27.07,142.21,0.92,1.0,0.6,,,,1.0,
1826.0,1.0,1.0,3.0,1.0,7.2,NEW ZEALAND,,81.0,DUSKY SOUND,-45.78,166.48,0.92,1.0,0.6,,,,,
1827.0,8.0,9.0,3.0,4.0,7.2,RUSSIA,,86.0,KAMCHATKA,53.0,158.5,0.92,2.0,0.6,,,,,
1828.0,5.0,26.0,4.0,1.0,6.4,JAPAN,,85.0,AMAKUSA SEA,32.6,129.9,0.92,2.0,0.6,,,,,
1831.0,1.0,1.0,3.0,1.0,7.2,NEW ZEALAND,,81.0,"POVERTY BAY, NORTH ISLAND",-38.7,178.0,0.92,0.0,0.6,,,,,
1833.0,3.0,10.0,3.0,1.0,7.2,MEXICO,,88.0,S. MEXICO,16.8,-99.9,0.92,1.0,1.0,,,,,
1833.0,11.0,24.0,4.0,1.0,8.3,INDONESIA,,60.0,SW. SUMATRA,-2.5,100.5,0.92,6.0,0.6,,1.0,,2.0,1.0
1833.0,12.0,7.0,4.0,1.0,7.4,JAPAN,,85.0,NW. HONSHU ISLAND,38.9,139.15,9.0,27.0,2.5,50.0,1.0,,3.0,3.0
1834.0,2.0,9.0,4.0,1.0,6.4,JAPAN,,85.0,W. HOKKAIDO ISLAND,43.3,141.4,0.92,1.0,2.0,,,,1.0,1.0
1835.0,2.0,20.0,4.0,1.0,8.2,CHILE,,89.0,CENTRAL CHILE,-36.83,-73.03,24.0,22.0,4.0,3.0,1.0,,2.0,3.0
1835.0,7.0,20.0,4.0,1.0,7.6,JAPAN,,85.0,SANRIKU,37.9,141.9,5.0,4.0,2.3,,3.0,,3.0,3.0
1836.0,4.0,24.0,3.0,1.0,7.2,ITALY,,50.0,ROSSANO,39.6,16.6,0.92,3.0,0.6,,,,,
1837.0,1.0,1.0,3.0,1.0,7.2,ISRAEL,,50.0,ISRAEL and SYRIAN COASTS,33.0,35.5,0.92,0.0,0.6,,,,,
1837.0,11.0,7.0,4.0,1.0,8.5,CHILE,,89.0,SOUTHERN CHILE,-42.5,-74.0,6.0,19.0,3.0,16.0,1.0,,2.0,3.0
1839.0,1.0,11.0,3.0,1.0,7.8,MARTINIQUE (FRENCH TERRITORY),,74.0,MARTINIQUE,14.9,-60.6,0.92,1.0,0.6,,,,,
1839.0,1.0,1.0,3.0,0.0,7.2,NEW ZEALAND,,81.0,"WAIKAWA, SOUTHLAND",-46.627,169.126,0.92,1.0,0.6,,,,,
1841.0,5.0,17.0,4.0,1.0,8.4,RUSSIA,,86.0,KAMCHATKA,52.0,158.0,15.0,7.0,3.9,,,,1.0,
1841.0,11.0,26.0,3.0,1.0,7.2,INDONESIA,,83.0,MOLUCCAS ISLANDS,-5.0,130.0,3.0,1.0,1.5,,,,,
1841.0,12.0,16.0,3.0,1.0,6.0,INDONESIA,,83.0,BANDA SEA,-4.0,127.5,1.5,4.0,1.0,,,,2.0,3.0
1842.0,5.0,7.0,4.0,1.0,8.1,HAITI,,74.0,CAP-HAITIAN,19.75,-72.2,5.0,6.0,4.2,300.0,3.0,,3.0,3.0
1843.0,1.0,5.0,4.0,1.0,7.3,INDONESIA,,60.0,SW. SUMATRA,1.5,98.0,0.92,3.0,0.6,,,,3.0,3.0
1843.0,2.0,8.0,4.0,1.0,8.3,GUADELOUPE (FRENCH TERRITORY),,74.0,POINTE-A-PITRE,16.5,-62.2,1.2,1.0,0.3,,,,,
1843.0,4.0,25.0,4.0,1.0,8.4,JAPAN,,85.0,SE. HOKKAIDO ISLAND,42.0,146.0,4.5,8.0,2.2,45.0,1.0,,2.0,2.0
1845.0,2.0,8.0,3.0,1.0,7.0,INDONESIA,,83.0,CELEBES SEA,1.5,124.85,0.92,1.0,0.0,,,,,
1845.0,4.0,7.0,4.0,1.0,8.3,MEXICO,,88.0,S. MEXICO,17.0,-100.6,0.92,2.0,0.6,,,,,
1845.0,6.0,19.0,3.0,1.0,6.3,INDIA,,60.0,RANN OF KUTCH,23.583,68.367,0.92,3.0,0.6,,,,2.0,2.0
1845.0,8.0,16.0,3.0,1.0,7.2,CROATIA,,50.0,DUBROVNIK,,,0.92,1.0,0.6,,,,,
1845.0,1.0,1.0,3.0,8.0,7.2,USA,AK,87.0,"SE. ALASKA, AK",,,0.92,1.0,0.6,100.0,2.0,,,
1846.0,1.0,25.0,4.0,1.0,7.3,INDONESIA,,83.0,"TERNATE ISLAND, N. MOLUCCAS ISLANDS",2.0,126.5,1.2,2.0,0.6,,,,,
1846.0,3.0,1.0,4.0,1.0,6.9,JAPAN,,85.0,SANRIKU,39.5,142.5,2.0,2.0,1.0,,,,,
1846.0,5.0,7.0,4.0,0.0,7.2,NEW ZEALAND,,81.0,"LAKE TAUPO, NORTH ISLAND",-38.96,175.73,0.92,0.0,0.6,,,,,
1846.0,8.0,14.0,3.0,1.0,6.1,ITALY,,50.0,LIVORNO,43.4,10.6,0.92,1.0,0.6,,,,,
1846.0,8.0,26.0,3.0,1.0,7.2,ITALY,,50.0,TUSCANY,43.5,10.5,0.92,2.0,0.6,,,,,
1846.0,9.0,12.0,3.0,1.0,7.2,ITALY,,50.0,TUSCANY,,,0.92,0.0,0.6,,,,,
1846.0,9.0,19.0,3.0,1.0,7.2,ITALY,,50.0,TUSCANY,,,0.92,0.0,0.6,,,,,
1846.0,10.0,4.0,3.0,1.0,7.2,ITALY,,50.0,TUSCANY,,,0.92,0.0,0.6,,,,,
1846.0,10.0,14.0,3.0,1.0,7.2,ITALY,,50.0,TUSCANY,,,0.92,0.0,0.6,,,,,
